SUBJECT_CODE,SUBJECT_NAME,SUBJECT_GROUP,SDS_SUBJECT,SDS_DESCRIPTION,SUBJECT_HOUR,BIGO
0001,국어,국어,23,World Languages,4,
0002,독서,국어,23,World Languages,4,
0003,문학,국어,23,World Languages,5,
0004,화법과작문,국어,23,World Languages,1,
0005,언어와매체,국어,23,World Languages,1,
0006,실용국어,국어,23,World Languages,1,
0007,심화국어,국어,23,World Languages,3,
0008,고전읽기,국어,23,World Languages,2,
0009,수학,수학,02,Mathematics,4,
0010,수학Ⅰ,수학,02,Mathematics,1,
0011,수학Ⅱ,수학,02,Mathematics,1,
0012,미적분,수학,02,Mathematics,3,
0013,확률과통계,수학,02,Mathematics,3,
0014,기하,수학,02,Mathematics,2,
0015,실용수학,수학,02,Mathematics,1,
0016,경제수학,수학,02,Mathematics,1,
0017,수학과제탐구,수학,02,Mathematics,1,
0018,영어,영어,01,English Language and Literature,4,
0019,영어Ⅰ,영어,01,English Language and Literature,1,
0020,영어Ⅱ,영어,01,English Language and Literature,1,
0021,영어회화,영어,01,English Language and Literature,1,
0022,영어독해와작문,영어,01,English Language and Literature,4,
0023,실용영어,영어,01,English Language and Literature,1,
0024,영어권문화,영어,01,English Language and Literature,1,
0025,진로영어,영어,01,English Language and Literature,1,
0026,영미문학읽기,영어,01,English Language and Literature,2,
0027,한국사,한국사,04,Social Sciences and History,3,
0028,사회,사회,04,Social Sciences and History,1,
0029,통합사회,사회,04,Social Sciences and History,1,
0030,역사,사회,04,Social Sciences and History,1,
0031,도덕,사회,04,Social Sciences and History,1,
0032,과학,과학,04,Social Sciences and History,1,
0033,과학탐구실험,과학,04,Social Sciences and History,1,
0034,통합과학,과학,04,Social Sciences and History,1,
0035,물리학Ⅰ,과학,04,Social Sciences and History,1,
0036,화학Ⅰ,과학,04,Social Sciences and History,1,
0037,생명과학Ⅰ,과학,04,Social Sciences and History,1,
0038,지구과학Ⅰ,과학,04,Social Sciences and History,1,
0039,물리학Ⅱ,과학,03,Life and Physical Sciences,1,
0040,화학Ⅱ,과학,04,Social Sciences and History,1,
0041,생명과학Ⅱ,과학,03,Life and Physical Sciences,1,
0042,지구과학Ⅱ,과학,04,Social Sciences and History,1,
0043,과학사 ,과학,04,Social Sciences and History,1,
0044,생활과과학 ,과학,04,Social Sciences and History,1,
0045,융합과학,과학,04,Social Sciences and History,1,
0046,체육,체육,07,Physical Health and Safety Education,2,
0047,운동과건강,체육,07,Physical Health and Safety Education,1,
0048,스포츠생활,체육,07,Physical Health and Safety Education,2,
0049,체육탐구,체육,07,Physical Health and Safety Education,2,
0050,음악,예술,05,Visual and Performing Arts,2,
0051,미술,예술,05,Visual and Performing Arts,2,
0052,연극,예술,05,Visual and Performing Arts,1,
0053,음악연주,예술,05,Visual and Performing Arts,1,
0054,음악감상과비평,예술,05,Visual and Performing Arts,1,
0055,미술창작,예술,05,Visual and Performing Arts,1,
0056,미술감상과비평,예술,05,Visual and Performing Arts,1,
0057,기술가정,기술가정,04,Social Sciences and History,2,
0058,정보,기술가정,04,Social Sciences and History,1,
0059,농업생명과학,기술가정,04,Social Sciences and History,1,
0060,공학일반,기술가정,04,Social Sciences and History,1,
0061,창의경영,기술가정,04,Social Sciences and History,1,
0062,해양문화와기술,기술가정,04,Social Sciences and History,1,
0063,가정과학,기술가정,04,Social Sciences and History,1,
0064,지식재산일반,기술가정,04,Social Sciences and History,1,
0065,독일어Ⅰ,제2외국어,23,World Languages,1,
0066,프랑스어Ⅰ,제2외국어,23,World Languages,1,
0067,스페인어Ⅰ,제2외국어,23,World Languages,1,
0068,중국어Ⅰ,제2외국어,23,World Languages,1,
0069,일본어Ⅰ,제2외국어,23,World Languages,1,
0070,러시아어Ⅰ,제2외국어,23,World Languages,1,
0071,아랍어Ⅰ,제2외국어,23,World Languages,1,
0072,베트남어Ⅰ,제2외국어,23,World Languages,1,
0073,독일어Ⅱ,제2외국어,23,World Languages,1,
0074,프랑스어Ⅱ,제2외국어,23,World Languages,1,
0075,스페인어Ⅱ,제2외국어,23,World Languages,1,
0076,중국어Ⅱ,제2외국어,23,World Languages,1,
0077,일본어Ⅱ,제2외국어,23,World Languages,1,
0078,러시아어Ⅱ,제2외국어,23,World Languages,1,
0079,아랍어Ⅱ,제2외국어,23,World Languages,1,
0080,베트남어Ⅱ,제2외국어,23,World Languages,1,
0081,독일어,제2외국어,23,World Languages,1,
0082,프랑스어,제2외국어,23,World Languages,1,
0083,스페인어,제2외국어,23,World Languages,1,
0084,중국어,제2외국어,23,World Languages,1,
0085,일본어,제2외국어,23,World Languages,1,
0086,러시아어,제2외국어,23,World Languages,1,
0087,아랍어,제2외국어,23,World Languages,1,
0088,베트남어,제2외국어,23,World Languages,1,
0089,한문,한문,23,World Languages,1,
0090,한문Ⅰ,한문,23,World Languages,1,
0091,한문Ⅱ,한문,23,World Languages,1,
0092,철학,교양,21,Miscellaneous,1,
0093,논리학,교양,21,Miscellaneous,1,
0094,심리학,교양,21,Miscellaneous,1,
0095,교육학,교양,21,Miscellaneous,1,
0096,종교학,교양,21,Miscellaneous,1,
0097,진로와직업,교양,21,Miscellaneous,1,
0098,보건,교양,21,Miscellaneous,1,
0099,환경,교양,21,Miscellaneous,1,
0100,실용경제,교양,21,Miscellaneous,1,
0101,논술,교양,21,Miscellaneous,1,
